Season,Episode,Scenes per episode,Title,Title length,Abstract,Director,Rating
1,13,13,The One with the Boobies,24,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,Alan Myerson,8.7
1,14,17,The One with the Candy Hearts,29,As Valentine's Day approaches Ross and his date end up at the same restaurant as Carol and Susan. Joey inadvertently sets Chandler up on a blind date with Janice and the girls burn mementos of their old boyfriends.,James Burrows,8.3
1,15,14,The One with the Stoned Guy,27,Monica cooks a gourmet meal for a restaurateur who is looking for a new chef however he arrives at the apartment stoned. Meanwhile Ross tries to master dirty talk.,Alan Myerson,8.2
1,16,16,The One with Two Parts: Part 1,30,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,Michael Lembeck,8.2
1,17,14,The One with Two Parts: Part 2,30,Rachel switches identities with Monica so she can use her health insurance. Meanwhile Ursula continues to come between Phoebe and Joey.,Michael Lembeck,8.5
1,18,8,The One with All the Poker,26,As Rachel interviews for a new job the girls take on the guys in a game of poker.,James Burrows,8.8
1,19,9,The One Where the Monkey Gets Away,34,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,Peter Bonerz,8.1
1,20,12,The One with the Evil Orthodontist,34,Rachel and Barry start dating again despite the fact that he's now engaged to Mindy. Chandler goes nuts when a woman he likes won't return his phone calls.,Peter Bonerz,7.9
1,21,15,The One with the Fake Monica,28,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,Gail Mancuso,7.9
1,22,13,The One with the Ick Factor,27,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,Robby Benson,8.3
1,23,21,The One with the Birth,22,As Carol goes into labor Ross and Susan argue. Rachel flirts with Carol's doctor and Joey assists a pregnant single mother.,James Burrows,8.7
1,24,11,The One Where Rachel Finds Out,30,As Ross leaves for China Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.,Kevin Bright,8.9
2,1,12,The One with Ross's New Girlfriend,34,Rachel waits for Ross at the airport unaware he has a new girlfriend. Meanwhile Chandler has a frightening experience with Joey's tailor and Phoebe gives Monica a bad haircut.,Michael Lembeck,8.5
2,2,14,The One with the Breast Milk,28,Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job Joey competes with a fellow cologne spritzer.,Michael Lembeck,8.2
2,3,11,The One Where Heckles Dies,26,After Mr. Heckles dies and leaves all his belongings to Monica and Rachel Chandler worries he will die alone just like him. Meanwhile Phoebe and Ross argue over evolution.,Kevin Bright,8.4
2,4,12,The One with Phoebe's Husband,29,When the gang find out Phoebe married a gay Canadian ice dancer for a green card more of their secrets are revealed. Meanwhile Rachel gives Ross bad advice on his relationship with Julie.,Gail Mancuso,8.0
2,5,7,The One with Five Steaks and an Eggplant,40,The gang are divided by income issues: Monica Ross and Chandler have money and Rachel Phoebe and Joey don't.,Ellen Gittelsohn,8.3
2,6,6,The One with the Baby on the Bus,32,Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile Phoebe loses her singing gig at Central Perk to a professional singer.,Gail Mancuso,8.6
2,7,12,The One Where Ross Finds Out,28,A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.,Peter Bonerz,9.0
2,8,13,The One with the List,21,With help from Chandler and Joey Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile Monica gets a job making dessert with a disgusting synthetic chocolate substitute.,Mary Kay Place,8.5
2,9,12,The One with Phoebe's Dad,25,Phoebe tracks down her father but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him.,Kevin Bright,8.0
2,10,9,The One with Russ,17,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,Thomas Schlamme,8.0
2,11,11,The One with the Lesbian Wedding,32,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,Thomas Schlamme,8.1
2,12,15,The One After the Superbowl: Part 1,35,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,Michael Lembeck,8.6
2,13,13,The One After the Superbowl: Part 2,35,Ross finds Marcel on the set of a new movie where Chandler bumps into a former schoolmate. Meanwhile Rachel and Monica compete for the affections of Jean-Claude Van Damme.,Michael Lembeck,8.8
2,14,11,The One with the Prom Video,27,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.,James Burrows,9.4
2,15,15,The One Where Ross and Rachel... You Know,41,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,Michael Lembeck,8.9
2,16,16,The One Where Joey Moves Out,28,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,Michael Lembeck,8.6
2,17,15,The One Where Eddie Moves In,28,Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song 'Smelly Cat'. Ross and Monica clash when he is always at her and Rachel's apartment.,Michael Lembeck,8.3
2,18,15,The One Where Dr. Ramoray Dies,30,Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior while Ross and Rachel compare their past lovers as do Richard and Monica.,Michael Lembeck,8.5
2,19,15,The One Where Eddie Won't Go,28,Chandler demands that Eddie move out however he doesn't seem to get the message. Meanwhile a book on empowerment for women inspires the girls. In order to pay his bills Ross convinces Joey to audition for a role he doesn't want.,Michael Lembeck,8.6
